City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Condition
187,Kavaratti,10.5669,72.642,81.75,71,90,3.6,IN,12/13/2021 1:30,overcast clouds
188,Lorengau,-2.0226,147.2712,84.58,76,100,15.37,PG,12/13/2021 1:22,moderate rain
189,Lulea,65.5842,22.1547,32.07,93,100,5.75,SE,12/13/2021 1:30,overcast clouds
190,Coihaique,-45.5752,-72.0662,51.75,66,0,3.44,CL,12/13/2021 1:26,clear sky
191,Mehamn,71.0357,27.8492,27.36,94,100,12.57,NO,12/13/2021 1:24,light snow
192,Diffa,13.3154,12.6113,69.69,20,90,9.1,NE,12/13/2021 1:30,overcast clouds
193,Beloha,-25.1667,45.05,72.82,69,15,10.33,MG,12/13/2021 1:30,few clouds
194,Chokurdakh,70.6333,147.9167,-36.85,97,100,1.88,RU,12/13/2021 1:30,overcast clouds
195,Manjacaze,-24.7117,33.8828,75.69,85,87,1.01,MZ,12/13/2021 1:30,overcast clouds
196,Pacific Grove,36.6177,-121.9166,54.43,80,90,1.01,US,12/13/2021 1:30,overcast clouds
197,Barcelos,41.5388,-8.6151,53.74,80,6,5.44,PT,12/13/2021 1:30,clear sky
198,Dickson,36.077,-87.3878,41.92,70,20,0,US,12/13/2021 1:30,few clouds
199,Sabara,-19.8864,-43.8067,72.01,78,75,5.75,BR,12/13/2021 1:30,moderate rain
200,Zemio,5.0314,25.1361,71.49,41,100,2.3,CF,12/13/2021 1:30,overcast clouds
201,Mount Vernon,40.9126,-73.8371,44.62,51,1,7,US,12/13/2021 1:28,clear sky
202,Najran,17.4924,44.1277,47.05,72,2,1.12,SA,12/13/2021 1:30,clear sky
203,Clyde River,70.4692,-68.5914,-1.97,92,90,13.8,CA,12/13/2021 1:30,light snow
204,Gamba,-2.65,10,75.42,93,100,3.13,GA,12/13/2021 1:30,overcast clouds
205,Upernavik,72.7868,-56.1549,6.12,92,100,11.34,GL,12/13/2021 1:30,overcast clouds
206,Zaranj,30.9667,61.8833,49.78,44,4,14.9,AF,12/13/2021 1:30,clear sky
207,Tiarei,-17.5333,-149.3333,84.22,72,42,10.54,PF,12/13/2021 1:22,light rain
208,Cherskiy,68.75,161.3,-40.36,100,94,1.21,RU,12/13/2021 1:30,overcast clouds
209,Ancud,-41.8697,-73.8203,51.42,81,100,5.64,CL,12/13/2021 1:30,overcast clouds
210,Arraial Do Cabo,-22.9661,-42.0278,75.15,96,100,10.47,BR,12/13/2021 1:30,overcast clouds
211,Sheridan,44.8333,-106.9173,42.98,51,1,1.99,US,12/13/2021 1:30,clear sky
212,Porterville,36.0652,-119.0168,57.78,54,75,0,US,12/13/2021 1:30,broken clouds
213,Cabo San Lucas,22.8909,-109.9124,74.52,73,75,3.44,MX,12/13/2021 1:28,broken clouds
214,San Luis,-33.295,-66.3356,62.78,81,0,14.14,AR,12/13/2021 1:28,clear sky
215,Imeni Poliny Osipenko,52.4201,136.4853,17.94,88,100,9.93,RU,12/13/2021 1:30,overcast clouds
216,El Alto,-4.2714,-81.2147,66.33,82,48,9.17,PE,12/13/2021 1:30,scattered clouds
217,Castro,-24.7911,-50.0119,65.12,82,100,4.72,BR,12/13/2021 1:30,overcast clouds
218,Boyolangu,-8.1181,111.8935,83.93,69,53,7.72,ID,12/13/2021 1:30,broken clouds
219,Hamilton,39.1834,-84.5333,41.09,63,1,4.61,US,12/13/2021 1:30,clear sky
220,Kyra,49.5776,111.9753,10.63,71,81,3.65,RU,12/13/2021 1:30,broken clouds
221,Vao,-22.6667,167.4833,77.2,89,100,13.67,NC,12/13/2021 1:30,moderate rain
222,Zhangjiakou,40.81,114.8794,19.67,29,0,0.69,CN,12/13/2021 1:28,clear sky
223,Svetlyy,54.675,20.1347,30.25,90,99,7.05,RU,12/13/2021 1:30,overcast clouds
224,Birao,10.2849,22.7882,69.85,32,12,6.17,CF,12/13/2021 1:31,few clouds
225,Maceio,-9.6658,-35.7353,78.24,88,75,3.44,BR,12/13/2021 1:31,broken clouds
226,Tshikapa,-6.4167,20.8,71.19,97,100,1.92,CD,12/13/2021 1:31,light rain
227,Honavar,14.2833,74.45,76.24,71,90,6.04,IN,12/13/2021 1:31,overcast clouds
228,Pak Phanang,8.3511,100.202,78.82,75,91,10.69,TH,12/13/2021 1:31,overcast clouds
229,Ninghai,29.2892,121.4247,52.74,64,18,7.65,CN,12/13/2021 1:31,few clouds
230,Ambilobe,-13.2,49.05,71.96,80,2,3.53,MG,12/13/2021 1:31,clear sky
231,Bathsheba,13.2167,-59.5167,81.21,78,20,18.41,BB,12/13/2021 1:31,few clouds
232,Guerrero Negro,27.9769,-114.0611,61.41,65,61,9.24,MX,12/13/2021 1:31,broken clouds
233,Muroto,33.2833,134.15,57.24,54,20,4.7,JP,12/13/2021 1:31,few clouds
234,Haines Junction,60.7522,-137.5108,-7.65,59,100,8.05,CA,12/13/2021 1:31,overcast clouds
235,Zhezkazgan,47.8043,67.7144,19.38,86,90,20.13,KZ,12/13/2021 1:31,light snow
