City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,Kalmunai,7.4167,81.8167,77.31,89,100,7.31,LK,2021-12-12 19:55:02
259,Provideniya,64.3833,-173.3,-8.64,70,51,8.95,RU,2021-12-12 19:55:02
260,Mikhaylovka,50.06,43.2379,22.78,63,79,12.01,RU,2021-12-12 19:55:02
261,Zweibrucken,49.25,7.3667,42.57,80,75,6.91,DE,2021-12-12 19:55:03
262,Santa Rosa,14.3122,121.1114,78.78,82,98,14.61,PH,2021-12-12 19:55:03
263,Payakumbuh,-0.2202,100.6308,70.34,100,100,1.63,ID,2021-12-12 19:55:03
264,Santa Cruz Del Norte,23.1539,-81.9236,84.72,73,69,17.56,CU,2021-12-12 19:55:04
265,Macamic,48.7502,-78.9996,34.03,82,100,13.18,CA,2021-12-12 19:55:04
266,Ouesso,1.6136,16.0517,75.2,82,98,3.44,CG,2021-12-12 19:55:05
267,Lima,-12.0432,-77.0282,71.85,68,0,14.97,PE,2021-12-12 19:55:05
268,Westport,41.1415,-73.3579,49.41,34,1,1.01,US,2021-12-12 19:50:34
269,Mpika,-11.8343,31.4529,71.28,47,60,7.92,ZM,2021-12-12 19:55:06
270,Vanavara,60.34,102.2797,-35.84,99,31,3.44,RU,2021-12-12 19:55:06
271,Hasaki,35.7333,140.8333,45.0,58,13,15.95,JP,2021-12-12 19:55:07
272,Davila,18.4726,120.5763,75.78,76,76,23.51,PH,2021-12-12 19:55:07
273,Smithers,54.7804,-127.1743,10.72,92,20,4.61,CA,2021-12-12 19:50:37
274,Victoria,22.2855,114.1577,66.38,66,53,1.99,HK,2021-12-12 19:55:08
275,Coihaique,-45.5752,-72.0662,59.61,47,75,9.22,CL,2021-12-12 19:52:55
276,Raton,36.9034,-104.4391,61.57,17,100,15.01,US,2021-12-12 19:55:08
277,Sept-Iles,50.2001,-66.3821,31.05,71,75,17.0,CA,2021-12-12 19:54:55
278,Noyabrsk,63.1994,75.4507,-13.74,99,86,5.48,RU,2021-12-12 19:56:09
279,Sal Rei,16.1833,-22.9167,75.4,78,75,13.8,CV,2021-12-12 19:56:09
280,Bereda,43.2686,-7.5406,48.58,100,86,1.41,ES,2021-12-12 19:56:09
281,Cootamundra,-34.65,148.0333,55.94,74,0,4.12,AU,2021-12-12 19:56:10
282,Whitianga,-36.8333,175.7,68.32,95,100,5.3,NZ,2021-12-12 19:56:10
283,Jagodina,43.9814,21.2622,34.86,99,100,2.82,RS,2021-12-12 19:56:10
284,Central Point,42.376,-122.9164,43.65,88,100,1.99,US,2021-12-12 19:56:11
285,Kaitong,44.8135,123.15,3.33,84,14,7.54,CN,2021-12-12 19:56:11
286,Bad Wurzach,47.9,9.9,36.95,85,100,1.99,DE,2021-12-12 19:56:12
287,Lunglei,22.8833,92.7333,50.38,74,0,3.13,IN,2021-12-12 19:56:12
288,Qaqortoq,60.7167,-46.0333,11.25,85,10,6.69,GL,2021-12-12 19:56:12
289,Humberto De Campos,-2.5983,-43.4611,84.85,63,35,10.18,BR,2021-12-12 19:56:13
290,Lavrentiya,65.5833,-171.0,-13.83,85,2,3.76,RU,2021-12-12 19:56:13
291,Isangel,-19.55,169.2667,80.71,89,90,0.0,VU,2021-12-12 19:56:13
292,Airai,-8.9266,125.4092,61.12,90,100,1.61,TL,2021-12-12 19:56:14
293,Lagoa,39.05,-27.9833,57.76,51,100,25.48,PT,2021-12-12 19:56:14
